Rank,Nationality,Player,Football Club,Points
1st,Argentina,Lionel Messi,Inter Miami,48
2nd,Norway,Erling Haaland,Manchester City,48
3rd,France,Kylian Mbappé,Paris Saint-Germain (PSG),35
4th,Belgium,Kevin De Bruyne,Manchester City,32
5th,Nigeria,Victor Osimhen,Napoli,24
6th,Spain,Rodri,Manchester City,24
7th,Argentina,Julián Álvarez,Manchester City,21
8th,Portugal,Bernardo Silva,Manchester City,18
9th,Germany,İlkay Gündoğan,Barcelona,13
10th,Georgia,Khvicha Kvaratskhelia,Napoli,7
11th,Croatia,Marcelo Brozović,Inter Milan,7
12th,England,Declan Rice,Arsenal,1
