Rank,Nationality,Player,Football Club,Points
1st,Argentina,Lionel Messi,Inter Miami,48
2nd,Norway,Erling Halaand,Manchester City,48
3rd,France,Kylian Mbappe,Paris Saint Germain ,35
4th,Belgium,Kevin De Bruyne,Manchester City,32
5th,Nigeria,Victor Osimhen,Napoli,24
6th,Spain,Rodri,Manchester City,24
7th,Argentina,Julian Alwarex,Manchester City,21
8th,Portugal,Bernado Silva,Manchester City,18
9th,Germany,IIkay Gundogan,Barcelona,13
10th,Georgia,Khvicha Kvarstskhelia,Napoli,7
11th,Croatia,Marcelo Brazovic,Inter Milan,7
12th,England,Declan Rice,Aesenal,1
